iter	MultiClass
0	1.46928949
1	1.358028387
2	1.263913709
3	1.18528221
4	1.115837509
5	1.050194122
6	0.9977801535
7	0.9504089089
8	0.9052813937
9	0.8659304055
10	0.826439087
11	0.7892453359
12	0.7554704063
13	0.7278383276
14	0.6958291443
15	0.6696927515
16	0.6447355789
17	0.6219995834
18	0.6002379032
19	0.5796974171
20	0.5606748343
21	0.5445535163
22	0.5263916929
23	0.5102429133
24	0.4946859247
25	0.4782194915
26	0.4647852176
27	0.449802807
28	0.4350476728
29	0.4246882422
30	0.4132540047
31	0.4029585135
32	0.3936345328
33	0.3821465099
34	0.372657213
35	0.3621952907
36	0.3558548104
37	0.3462990484
38	0.3384536166
39	0.3298471323
40	0.3223283549
41	0.3136473722
42	0.3098165147
43	0.3030228522
44	0.2967746255
45	0.2900416101
46	0.2840513641
47	0.2785601614
48	0.2719094882
49	0.2668560015
50	0.2621110283
51	0.2560537463
52	0.2509067015
53	0.2470750363
54	0.243934325
55	0.2402834356
56	0.2371610918
57	0.233137062
58	0.2284246201
59	0.2236240623
60	0.2190385552
61	0.2145873252
62	0.2118271012
63	0.2087467156
64	0.2044264101
65	0.2002185089
66	0.197211819
67	0.1936411394
68	0.1900990689
69	0.187902807
70	0.1856588274
71	0.1834603733
72	0.1804019895
73	0.1774353888
74	0.1746693725
75	0.1709025557
76	0.168117002
77	0.1661265552
78	0.164491572
79	0.1623226722
80	0.1598790656
81	0.1577057604
82	0.1552164902
83	0.1532969269
84	0.1513593277
85	0.1481904977
86	0.1460441654
87	0.1444162954
88	0.1423518559
89	0.1407417217
90	0.1380434497
91	0.1368649251
92	0.1348103285
93	0.1331449818
94	0.1314552083
95	0.1301727303
96	0.1285386693
97	0.1277931895
98	0.1261028707
99	0.1244353417
100	0.1227671073
101	0.1210439816
102	0.1193662756
103	0.117863651
104	0.1162406453
105	0.1146755073
106	0.1133878039
107	0.1119925303
108	0.1100913409
109	0.1093399179
110	0.107600555
111	0.1062500818
112	0.105204602
113	0.1038181345
114	0.1032467518
115	0.101236759
116	0.1000819548
117	0.0985667513
118	0.09767271185
119	0.09694987452
120	0.09625419355
121	0.09525801106
122	0.09434494417
123	0.09293552885
124	0.0917349676
125	0.09079073536
126	0.08999002942
127	0.0890168351
128	0.08781408217
129	0.08685766784
130	0.08631917757
131	0.08572856882
132	0.08451219849
133	0.08347527151
134	0.08278106366
135	0.08241732592
136	0.08167841061
137	0.08098784406
138	0.08024844231
139	0.07923078539
140	0.07871980692
141	0.077907948
142	0.07731758423
143	0.07664536117
144	0.07566433974
145	0.07516122582
146	0.07424656494
147	0.07329818341
148	0.07266779063
149	0.07213711114
150	0.07132409023
151	0.07067333336
152	0.07018626391
153	0.06929311606
154	0.0688131366
155	0.06820786912
156	0.06754392823
157	0.06648888203
158	0.06556829056
159	0.06506278186
160	0.06420244941
161	0.06386164303
162	0.06329186685
163	0.06262519573
164	0.06223952973
165	0.06152538497
166	0.06080061265
167	0.0601786619
168	0.05970260123
169	0.0594742313
170	0.0589931196
171	0.05828468589
172	0.05766812446
173	0.05713467573
174	0.05687209917
175	0.05637593806
176	0.05618619084
177	0.05593262282
178	0.05530167443
179	0.05481300788
180	0.05420556392
181	0.05379058941
182	0.05300229808
183	0.05262378704
184	0.05244282734
185	0.05218394868
186	0.05181303991
187	0.05132693719
188	0.05078160603
189	0.05043477045
190	0.0498106689
191	0.04952111667
192	0.04904421747
193	0.04889087999
194	0.04818544909
195	0.04795938446
196	0.04768256955
197	0.04722147723
198	0.04694844791
199	0.04647340818
200	0.04612774413
201	0.04585280403
202	0.04555729156
203	0.04537873924
204	0.04499011244
205	0.04474307748
206	0.04452059697
207	0.0443276294
208	0.04398894796
209	0.04382572322
210	0.04328977089
211	0.04299235037
212	0.04275473763
213	0.04249793443
214	0.04224366747
215	0.04191574475
216	0.04166331897
217	0.04129998897
218	0.04108464125
219	0.04088085438
220	0.0404422903
221	0.04017483015
222	0.03986975094
223	0.03944239376
224	0.03905661412
225	0.03884347532
226	0.03857261056
227	0.03850637939
228	0.03831071887
229	0.037915157
230	0.03757407002
231	0.03739979315
232	0.03717555818
233	0.03706742748
234	0.03654972312
235	0.03636979672
236	0.03604643681
237	0.03581342244
238	0.03553987636
239	0.03529327716
240	0.0351157658
241	0.03491883129
242	0.03466505879
243	0.03439462361
244	0.03417631935
245	0.0339048226
246	0.03366708391
247	0.03350286381
248	0.03332398516
249	0.03316476334
